hotel_id,reco_hotel_id,rank
154105,2097349,10
154789,497068,1
154789,5319574,2
154789,2970799,3
154789,3865156,4
154789,2091058,5
154789,4760503,6
154789,3715351,7
154789,5275276,8
154789,509704,9
154789,1051459,10
154825,6672274,1
154825,4769719,2
154825,6766630,3
154825,2088727,4
154825,10659328,5
154825,4760161,6
154825,2103046,7
154825,4768342,8
154825,4757812,9
154825,2095981,10
155104,6673516,1
155104,6696781,2
155104,6672139,3
155104,1864933,4
155104,6748954,5
155104,6734545,6
155104,6780481,7
155104,6697141,8
155104,6749863,9
155104,6672742,10
155311,3121918,1
155311,3850819,2
155311,3881599,3
155311,6688969,4
155311,1109599,5
155311,708532,6
155311,3660397,7
155311,6729361,8
155311,5226154,9
155311,3868315,10
155518,3872293,1
155518,2080240,2
155518,4758829,3
155518,3857695,4
155518,1792015,5
155518,6743365,6
155518,5225596,7
155518,5230681,8
155518,2770846,9
155518,5316910,10
155608,213001,1
155608,6689005,2
155608,2091076,3
155608,464191,4
155608,2090824,5
155608,4781059,6
155608,197899,7
155608,2090833,8
155608,2090707,9
155608,1099519,10
155743,4768738,1
155743,725947,2
155743,6774397,3
155743,423475,4
155743,156067,5
155743,4768180,6
155743,6777331,7
155743,6725896,8
155743,440062,9
155743,465010,10
155851,6721333,1
155851,1436164,2
155851,2100589,3
155851,6719605,4
155851,2100697,5
155851,4842799,6
155851,6772372,7
155851,1467142,8
155851,2100634,9
155851,1290472,10
156058,3733099,1
156058,1502998,2
156058,3751144,3
156058,5797051,4
156058,6756397,5
156058,3864940,6
156058,5229934,7
156058,6688051,8
156058,3697018,9
156058,5228602,10
156067,4768738,1
156067,725947,2
156067,155743,3
156067,6774397,4
156067,423475,5
156067,4768180,6
156067,6777331,7
156067,6725896,8
156067,440062,9
156067,465010,10
170017,5225515,1
170017,3108013,2
170017,76714,3
170017,5305489,4
170017,4798411,5
170017,1691530,6
170017,5319205,7
170017,4785415,8
170017,1333636,9
170017,3851935,10
171970,5304076,1
171970,1548277,2
171970,3849982,3
171970,3850054,4
171970,1579273,5
171970,1271590,6
171970,1593187,7
171970,6771472,8
171970,3829606,9
171970,3850243,10
172735,5304076,1
172735,1548277,2
172735,3849982,3
172735,3850054,4
172735,1579273,5
172735,1271590,6
172735,1593187,7
172735,6771472,8
172735,3829606,9
172735,3850243,10
174733,5304076,1
174733,1548277,2
174733,3849982,3
174733,3850054,4
174733,1579273,5
174733,1271590,6
174733,1593187,7
174733,6771472,8
174733,3829606,9
174733,3850243,10
175399,997225,1
175399,3733999,2
175399,6666298,3
175399,5262928,4
175399,4761619,5
175399,4764292,6
175399,4762618,7
175399,4762753,8
175399,6738874,9
175399,6784441,10
175633,213073,1
175633,401443,2
175633,4758487,3
175633,253447,4
175633,570760,5
175633,709882,6
175633,4766623,7
175633,92392,8
175633,5228962,9
175633,2097349,10
197899,213001,1
197899,6689005,2
197899,2091076,3
197899,464191,4
197899,2090824,5
197899,4781059,6
197899,155608,7
197899,2090833,8
197899,2090707,9
197899,1099519,10
200311,5230267,1
200311,608128,2
200311,2093848,3
200311,6695953,4
200311,6734473,5
200311,5456833,6
200311,468790,7
200311,463876,8
200311,6776449,9
200311,3759082,10
201760,6085969,1
201760,6700336,2
201760,5140069,3
201760,6763246,4
201760,6699265,5
201760,1506742,6
201760,6666172,7
201760,262537,8
201760,6699274,9
201760,6754975,10
202444,5225515,1
202444,3108013,2
202444,76714,3
202444,5305489,4
202444,4798411,5
202444,1691530,6
202444,5319205,7
202444,4785415,8
202444,1333636,9
202444,3851935,10
202597,5304076,1
202597,1548277,2
202597,3849982,3
202597,3850054,4
202597,1579273,5
202597,1271590,6
202597,1593187,7
202597,6771472,8
202597,3829606,9
202597,3850243,10
203929,2916079,1
203929,6682435,2
203929,389257,3
203929,1546288,4
203929,6767926,5
203929,401569,6
203929,5324875,7
203929,502288,8
203929,401371,9
203929,3852799,10
211966,6721333,1
211966,1436164,2
211966,2100589,3
211966,6719605,4
211966,2100697,5
211966,4842799,6
211966,6772372,7
211966,1467142,8
211966,2100634,9
211966,1290472,10
212173,5261578,1
212173,4767091,2
212173,2090320,3
212173,1643056,4
212173,4765525,5
212173,5323183,6
212173,5320636,7
212173,6739189,8
212173,4764850,9
212173,1569841,10
212236,3874174,1
212236,2091364,2
212236,3700096,3
212236,6688096,4
212236,5304085,5
212236,5262748,6
212236,2091346,7
212236,2091220,8
212236,10649455,9
212236,2091175,10
212731,3733099,1
212731,1502998,2
212731,3751144,3
212731,5797051,4
212731,6756397,5
212731,3864940,6
212731,5229934,7
212731,6688051,8
212731,3697018,9
212731,5228602,10
213001,6689005,1
213001,2091076,2
213001,464191,3
213001,2090824,4
213001,4781059,5
213001,197899,6
213001,155608,7
213001,2090833,8
213001,2090707,9
213001,1099519,10
213037,213073,1
213037,401443,2
213037,4758487,3
213037,253447,4
213037,570760,5
213037,709882,6
213037,4766623,7
213037,92392,8
213037,5228962,9
213037,2097349,10
213073,401443,1
213073,4758487,2
213073,253447,3
213073,570760,4
213073,709882,5
213073,4766623,6
213073,92392,7
213073,3757192,8
213073,5228962,9
213073,2097349,10
213091,6735625,1
213091,6657145,2
213091,1090780,3
213091,4760575,4
213091,5282152,5
213091,6767314,6
213091,2096224,7
213091,4766578,8
213091,2881123,9
213091,4762663,10
214099,401677,1
214099,262456,2
214099,6734140,3
214099,6732583,4
214099,3859414,5
214099,6725869,6
214099,10657033,7
214099,5276518,8
214099,3855292,9
214099,6722260,10
214531,3733099,1
214531,1502998,2
214531,3751144,3
214531,5797051,4
214531,6756397,5
